date,PX
2018-04-20,1121.26
2018-04-23,1121.47
2018-04-24,1127.53
2018-04-25,1121.67
2018-04-26,1124.64
2018-04-27,1124.16
2018-04-30,1115.93
2018-05-02,1116.87
2018-05-03,1113.35
2018-05-04,1097.18
2018-05-07,1109.04
2018-05-09,1093.01
2018-05-10,1096.38
2018-05-11,1107.12
2018-05-14,1104.33
2018-05-15,1106.3
2018-05-16,1106.06
2018-05-17,1107.39
2018-05-18,1104.56
2018-05-21,1102.15
2018-05-22,1103.29
2018-05-23,1099.54
2018-05-24,1103.42
2018-05-25,1087.5
2018-05-28,1088.8
2018-05-29,1073.4
2018-05-30,1079.66
2018-05-31,1076.1
2018-06-01,1081.04
2018-06-04,1080.0
2018-06-05,1073.24
2018-06-06,1073.27
2018-06-07,1078.38
2018-06-08,1077.37
2018-06-11,1077.28
2018-06-12,1078.94
2018-06-13,1082.02
2018-06-14,1075.38
2018-06-15,1077.88
2018-06-18,1069.4
2018-06-19,1068.21
2018-06-20,1070.03
2018-06-21,1064.44
2018-06-22,1064.12
2018-06-25,1066.4
2018-06-26,1061.49
2018-06-27,1051.72
2018-06-28,1051.85
2018-06-29,1064.2
2018-07-02,1070.5
2018-07-03,1076.02
2018-07-04,1077.56
2018-07-09,1080.93
2018-07-10,1088.89
2018-07-11,1088.33
2018-07-12,1083.17
2018-07-13,1084.79
2018-07-16,1088.24
2018-07-17,1081.39
2018-07-18,1087.36
2018-07-19,1083.94
2018-07-20,1084.97
2018-07-23,1087.73
2018-07-24,1093.88
2018-07-25,1090.42
2018-07-26,1092.89
2018-07-27,1093.02
2018-07-30,1094.88
2018-07-31,1092.34
2018-08-01,1089.51
2018-08-02,1089.09
2018-08-03,1092.19
2018-08-06,1090.58
2018-08-07,1087.5
2018-08-08,1084.8
2018-08-09,1079.27
2018-08-10,1073.4
2018-08-13,1072.63
2018-08-14,1067.26
2018-08-15,1068.45
2018-08-16,1061.38
2018-08-17,1058.05
2018-08-20,1061.96
2018-08-21,1068.86
2018-08-22,1073.0
2018-08-23,1079.91
2018-08-24,1072.86
2018-08-27,1076.51
2018-08-28,1079.6
2018-08-29,1078.85
2018-08-30,1078.16
2018-08-31,1072.88
2018-09-03,1073.1
2018-09-04,1073.94
2018-09-05,1065.04
2018-09-06,1063.58
2018-09-07,1069.85
2018-09-10,1082.85
2018-09-11,1081.44
2018-09-12,1089.31
2018-09-13,1092.74
2018-09-14,1095.46
2018-09-17,1092.08
2018-09-18,1091.64
2018-09-19,1098.42
2018-09-20,1103.64
2018-09-21,1101.71
